row_id,age_range,gender,education,job_title,industry,annual_salary,bonus,total_salary,currency,country,state,city,experience_overall,experience_field
1,25-34,Female,Master's degree,Research and Instruction Librarian,Education (Higher Education),55000,0,55000,USD,USA,Massachusetts,Boston,5-7 years,5-7 years
2,25-34,Non-binary,Bachelor's degree,Change & Internal Communications Manager,Computing or Tech,54600,4000,58600,GBP,UK,Other,Cambridge,8 - 10 years,5-7 years
3,25-34,Female,Bachelor's degree,Marketing Specialist,"Accounting, Banking & Finance",34000,0,34000,USD,USA,Tennessee,Chattanooga,2 - 4 years,2 - 4 years
4,25-34,Female,Bachelor's degree,Program Manager,Nonprofits,62000,3000,65000,USD,USA,Wisconsin,Other,8 - 10 years,5-7 years
5,25-34,Female,Bachelor's degree,Accounting Manager,"Accounting, Banking & Finance",60000,7000,67000,USD,USA,South Carolina,Greenville,8 - 10 years,5-7 years
6,25-34,Male,Master's degree,Scholarly Publishing Librarian,Education (Higher Education),62000,0,62000,USD,USA,New Hampshire,Hannover,8 - 10 years,2 - 4 years
7,25-34,Female,Bachelor's degree,Publishing Assistant,Publishing,33000,2000,35000,USD,USA,South Carolina,District of Columbia,2 - 4 years,2 - 4 years
8,25-34,Male,Master's degree,Librarian,Education (Primary/Secondary),50000,0,50000,USD,USA,Arizona,Yuma,5-7 years,5-7 years
9,45-54,Female,Bachelor's degree,Systems Analyst,Computing or Tech,112000,1000,113000,USD,USA,Missouri,St. Louis,21 - 30 years,21 - 30 years
10,35-44,Female,Bachelor's degree,Senior Accountant,"Accounting, Banking & Finance",45000,0,45000,USD,USA,Florida,Palm Coast,21 - 30 years,21 - 30 years
11,25-34,Female,Bachelor's degree,Office Manager,Nonprofits,47500,0,47500,USD,USA,Other,Boston,5-7 years,5-7 years
12,35-44,Female,PhD,Deputy Title IX Coordinator,Education (Higher Education),62000,0,62000,USD,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years
13,35-44,Male,Bachelor's degree,Manager of Information Services,"Accounting, Banking & Finance",100000,0,100000,USD,USA,Michigan,Detroit,11 - 20 years,11 - 20 years
14,25-34,Female,Other degree,Legal Aid Staff Attorney,Law,52000,0,52000,USD,USA,Minnesota,Saint Paul,2 - 4 years,2 - 4 years
15,18-24,Female,Bachelor's degree,Patient care coordinator,Health care,32000,0,32000,CAD,Canada,Other,Other,1 year or less,1 year or less
16,35-44,Male,Bachelor's degree,Quality And Compliance Specialist,Utilities & Telecommunications,24000,500,24500,GBP,UK,Other,Lincoln,11 - 20 years,5-7 years
17,35-44,Female,Other degree,Executive Assistant,Business or Consulting,85000,5000,90000,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years
18,45-54,Female,Bachelor's degree,graphic designer,Art & Design,59000,0,59000,USD,USA,California,Other,21 - 30 years,21 - 30 years
19,35-44,Female,Master's degree,Senior Manager,Business or Consulting,98000,1000,99000,USD,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years
20,35-44,Female,Master's degree,Assistant Director of Academic Advising,Education (Higher Education),54000,0,54000,USD,USA,Florida,Boca Raton,11 - 20 years,11 - 20 years
21,25-34,Female,Master's degree,Data Programmer Analyst,Health care,74000,0,74000,USD,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years
22,35-44,Female,PhD,Program Coordinator & Assistant Editor,Nonprofits,50000,0,50000,USD,USA,Other,Atlanta,5-7 years,2 - 4 years
23,35-44,Female,Master's degree,Event Planner,Nonprofits,63000,0,63000,CAD,Canada,Other,Toronto,11 - 20 years,8 - 10 years
24,35-44,Female,PhD,Researcher,Government and Public Administration,96000,1000,97000,USD,USA,Ohio,Daytona,8 - 10 years,2 - 4 years
25,25-34,Female,Other degree,Teen Librarian,Public Library,44500,0,44500,USD,USA,Florida,Bradenton,5-7 years,2 - 4 years
26,35-44,Female,Master's degree,Communications Specialist,Education (Higher Education),60000,0,60000,USD,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less
27,25-34,Male,Bachelor's degree,Program Director,Nonprofits,62000,0,62000,USD,USA,District of Columbia,Other,5-7 years,2 - 4 years
28,35-44,Female,Bachelor's degree,Bookkeeper,Law,48000,4000,52000,USD,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years
29,35-44,Female,Master's degree,Economist,Government and Public Administration,140000,0,140000,USD,USA,District of Columbia,Other,11 - 20 years,11 - 20 years
30,25-34,Female,Bachelor's degree,Research Engineer,Engineering or Manufacturing,80000,0,80000,USD,USA,Texas,San Antonio,5-7 years,5-7 years
31,25-34,Female,Bachelor's degree,Volunteer and Giving Coordinator,Nonprofits,39000,0,39000,USD,USA,Minnesota,Minneapolis,2 - 4 years,2 - 4 years
32,35-44,Female,Master's degree,Editor,Media & Digital,125000,0,125000,USD,USA,District of Columbia,Other,11 - 20 years,8 - 10 years
33,25-34,Female,Bachelor's degree,Financial Advisor,"Accounting, Banking & Finance",230000,0,230000,USD,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years
34,35-44,Female,Bachelor's degree,Accounting Manager,"Accounting, Banking & Finance",110000,0,110000,USD,USA,Virginia,Richmond,21 - 30 years,11 - 20 years
35,25-34,Female,Bachelor's degree,Administrative and HR Manager,Nonprofits,50000,0,50000,USD,USA,District of Columbia,Other,5-7 years,2 - 4 years
36,35-44,Female,Master's degree,Senior IRB Analyst,Education (Higher Education),68000,0,68000,USD,USA,North Carolina,Other,5-7 years,2 - 4 years
37,18-24,Female,Bachelor's degree,Reporter,Media & Digital,41000,0,41000,USD,USA,Michigan,Kalamazoo,2 - 4 years,2 - 4 years
38,25-34,Female,Bachelor's degree,Senior Administrator,"Accounting, Banking & Finance",76000,1000,77000,USD,USA,New York,Manhattan,5-7 years,2 - 4 years
39,35-44,Female,Master's degree,Staff Services Manager II,Government and Public Administration,78000,0,78000,USD,USA,California,Sacramento,8 - 10 years,5-7 years
40,25-34,Female,Bachelor's degree,Receptionist,"Accounting, Banking & Finance",37000,0,37000,USD,USA,Texas,Dallas,2 - 4 years,2 - 4 years
41,45-54,Female,Bachelor's degree,Lead Engineer,Engineering or Manufacturing,100000,5000,105000,USD,USA,Georgia,Other,21 - 30 years,21 - 30 years
42,35-44,Female,Bachelor's degree,Senior Copywriter,"Marketing, Advertising & PR",35000,6000,41000,GBP,UK,Other,Liverpool,11 - 20 years,11 - 20 years
43,25-34,Male,Bachelor's degree,Manager of Data Integrity and Prospect Research,Government and Public Administration,65000,0,65000,USD,USA,Virginia,Richmond,5-7 years,5-7 years
44,25-34,Female,Bachelor's degree,Principal Software Engineer,Computing or Tech,187500,5000,192500,USD,USA,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years
45,25-34,Male,Master's degree,Intelligence Analyst,Computing or Tech,110000,2000,112000,USD,USA,Virginia,Arlington,8 - 10 years,8 - 10 years
46,25-34,Female,Bachelor's degree,Project Manager,Nonprofits,66625,0,66625,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years
47,35-44,Female,PhD,Mobile developer,Computing or Tech,144600,2500,147100,USD,USA,Massachusetts,Boston,5-7 years,5-7 years
48,35-44,Female,Bachelor's degree,Product Design Director,Computing or Tech,200850,4000,204850,USD,USA,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years
49,25-34,Female,Bachelor's degree,Engineering specialist,Engineering or Manufacturing,120000,0,120000,CAD,Canada,Other,Vancouver,11 - 20 years,8 - 10 years
50,25-34,Female,Bachelor's degree,"Manager, Total Rewards",Retail,97500,1000,98500,CAD,Canada,Other,Toronto,8 - 10 years,8 - 10 years
51,35-44,Female,PhD,Research and Development Engineer 3,Education (Higher Education),96000,0,96000,USD,USA,California,Berkeley,5-7 years,5-7 years
